id,name,section,gradeId,supervisorId
1,Pre KG,A,1,staff_ks_063
2,LKG, A,2,staff_ks_001
3,LKG, B,2,staff_ks_002
4,UKG, A,3,staff_ks_003
5,UKG, B,3,staff_ks_004
6,UKG, C,3,staff_ks_005
7,I, A,4,staff_ks_007
8,I, B,4,staff_ks_008
9,I, C,4,staff_ks_009
10,I, D,4,staff_ks_012
11,II, A,5,staff_ks_015
12,II, B,5,staff_ks_016
13,II, C,5,staff_ks_017
14,II, D,5,staff_ks_018
15,III, A,6,staff_ks_019
16,III, B,6,staff_ks_020
17,III, C,6,staff_ks_022
18,III, D,6,staff_ks_025
19,IV, A,7,staff_ks_028
20,IV, B,7,staff_ks_029
21,IV, C,7,staff_ks_030
22,IV, D,7,staff_ks_032
23,V, A,8,staff_ks_033
24,V, B,8,staff_ks_034
25,V, C,8,staff_ks_036
26,V, D,8,staff_ks_037
27,VI, A,9,staff_ks_038
28,VI, B,9,staff_ks_039
29,VI, C,9,staff_ks_040
30,VI, D,9,staff_ks_041
31,VII, A,10,staff_ks_043
32,VII, B,10,staff_ks_044
33,VII, C,10,staff_ks_045
34,VII, D,10,staff_ks_046
35,VIII, A,11,staff_ks_048
36,VIII, B,11,staff_ks_050
37,VIII, C,11,staff_ks_052
38,VIII,D,11,staff_ks_014
39,IX, A,12,staff_ks_054
40,IX, B,12,staff_ks_055
41,IX, C,12,staff_ks_056
42,X, A,13,staff_ks_057
43,X, B,13,staff_ks_061
44,X, C,13,staff_ks_062
