id,section,name,gradeId,supervisorId
1,A,Pre KG,1,staff_ks_063
2,A,LKG - A,2,staff_ks_001
3,B,LKG - B,2,staff_ks_002
4,A,UKG - A,3,staff_ks_003
5,B,UKG - B,3,staff_ks_004
6,C,UKG - C,3,staff_ks_005
7,A,I - A,4,staff_ks_007
8,B,I - B,4,staff_ks_008
9,C,I - C,4,staff_ks_009
10,D,I - D,4,staff_ks_012
11,A,II - A,5,staff_ks_015
12,B,II - B,5,staff_ks_016
13,C,II - C,5,staff_ks_017
14,D,II - D,5,staff_ks_018
15,A,III - A,6,staff_ks_019
16,B,III - B,6,staff_ks_020
17,C,III - C,6,staff_ks_022
18,D,III - D,6,staff_ks_025
19,A,IV - A,7,staff_ks_028
20,B,IV - B,7,staff_ks_029
21,C,IV - C,7,staff_ks_030
22,D,IV - D,7,staff_ks_032
23,A,V - A,8,staff_ks_033
24,B,V - B,8,staff_ks_034
25,C,V - C,8,staff_ks_036
26,D,V - D,8,staff_ks_037
27,A,VI - A,9,staff_ks_038
28,B,VI - B,9,staff_ks_039
29,C,VI - C,9,staff_ks_040
30,D,VI - D,9,staff_ks_041
31,A,VII - A,10,staff_ks_043
32,B,VII - B,10,staff_ks_044
33,C,VII - C,10,staff_ks_045
34,D,VII - D,10,staff_ks_046
35,A,VIII - A,11,staff_ks_048
36,B,VIII - B,11,staff_ks_050
37,C,VIII - C,11,staff_ks_052
38,A,IX - A,12,staff_ks_054
39,B,IX - B,12,staff_ks_055
40,C,IX - C,12,staff_ks_056
41,A,X - A,13,staff_ks_057
42,B,X - B,13,staff_ks_061
43,C,X - C,13,staff_ks_062
