gradeId,subject
1,Class Activities
2,English Reading (Oral)
2,English Written (Written)
2,Number Work (Oral & Written)
2,Spellings (Written)
2,Rhymes (Oral)
2,EVS (Oral)
2,Drawing
3,Class Activities
3,Number Work (Oral & Written)
3,English Reading (Oral)
3,Telugu/Hindi (II Lang)
3,Spelling & Handwriting
3,Rhymes
3,EVS (Oral & Written)
3,Drawing
4,English - I
4,English - II
4,Computer
4,Telugu/Hindi (II Lang)
4,Maths
4,General Knowledge (G.K.)
4,Environmental Science (EVS)
4,Spelling & Handwriting
4,Moral Science
4,Reading & Recitation
4,Drawing
5,English - I
5,English - II
5,Telugu/Hindi (II Lang)
5,Computer
5,Maths
5,Environmental Science (EVS)
5,General Knowledge (G.K.)
5,Moral Science
5,Reading & Recitation
5,Spelling & Handwriting
5,Drawing
6,English - I
6,English - II
6,Mathematics
6,General Science
6,Social Studies
6,Computer Science
6,Telugu/Hindi (II Lang)
6,Moral Science (M.S.)
6,General Knowledge (G.K.)
6,Drawing
7,English - I
7,English - II
7,Mathematics
7,General Science
7,Social Studies
7,Computer Science
7,Telugu/Hindi (III Lang)
7,Telugu/Hindi (II Lang)
7,Moral Science (M.S.)
7,General Knowledge (G.K.)
7,Drawing
8,English - II
8,English - I
8,Mathematics
8,General Science
8,Social Studies
8,Chemistry
8,Computer Science
8,Telugu/Hindi (II Lang)
8,Telugu/Hindi (III Lang)
8,General Knowledge (G.K.)
8,Drawing
9,English - I
9,English - II
9,Mathematics
9,General Science
9,"Social Studies (History-Civics, Geography)"
9,Physics
9,Chemistry
9,Biology
9,Computer Science
9,Telugu/Hindi (II Lang)
9,Telugu/Hindi (III Lang)
9,Moral Science (M.S.)
9,Drawing
10,English - II
10,English - I
10,Mathematics
10,General Science
10,"Social Studies (History-Civics, Geography)"
10,Physics
10,Chemistry
10,Biology
10,Computer Science
10,Telugu/Hindi (II Lang)
10,Telugu/Hindi (III Lang)
10,General Knowledge (G.K.)
10,Moral Science (M.S.)
10,Drawing
11,English - II
11,English - I
11,Mathematics
11,General Science
11,"Social Studies (History-Civics, Geography)"
11,Physics
11,Chemistry
11,Biology
11,Computer Science
11,Telugu/Hindi (II Lang)
11,Telugu/Hindi (III Lang)
11,General Knowledge (G.K.)
11,Moral Science (M.S.)
11,Drawing
