id,classId,term1,term2,term3,term4,abacusVedicFees,totalFees,accountNo
1,1,0,0,5250,5250,0,10500,A/C No. 1
2,2,6050,6050,6050,6050,0,24200,A/C No. 1
3,3,6050,6050,6050,6050,0,24200,A/C No. 1
4,4,6050,6050,6050,6050,0,24200,A/C No. 1
5,5,6050,6050,6050,6050,0,24200,A/C No. 1
6,6,6050,6050,6050,6050,0,24200,A/C No. 1
7,7,7150,7150,7150,7150,400,29000,A/C No. 2
8,8,7150,7150,7150,7150,400,29000,A/C No. 2
9,9,7150,7150,7150,7150,400,29000,A/C No. 2
10,10,7150,7150,7150,7150,400,29000,A/C No. 2
11,11,7150,7150,7150,7150,400,29000,A/C No. 2
12,12,7150,7150,7150,7150,400,29000,A/C No. 2
13,13,7150,7150,7150,7150,400,29000,A/C No. 2
14,14,7150,7150,7150,7150,400,29000,A/C No. 2
15,15,7425,7425,7425,7425,400,30100,A/C No. 2
16,16,7425,7425,7425,7425,400,30100,A/C No. 2
17,17,7425,7425,7425,7425,400,30100,A/C No. 2
18,18,7425,7425,7425,7425,400,30100,A/C No. 2
19,19,7425,7425,7425,7425,400,30100,A/C No. 2
20,20,7425,7425,7425,7425,400,30100,A/C No. 2
21,21,7425,7425,7425,7425,400,30100,A/C No. 2
22,22,7425,7425,7425,7425,400,30100,A/C No. 2
23,23,7700,7700,7700,7700,400,31200,A/C No. 2
24,24,7700,7700,7700,7700,400,31200,A/C No. 2
25,25,7700,7700,7700,7700,400,31200,A/C No. 2
26,26,7700,7700,7700,7700,400,31200,A/C No. 2
27,27,7700,7700,7700,7700,400,31200,A/C No. 2
28,28,7700,7700,7700,7700,400,31200,A/C No. 2
29,29,7700,7700,7700,7700,400,31200,A/C No. 2
30,30,7700,7700,7700,7700,400,31200,A/C No. 2
31,31,7975,7975,7975,7975,400,32300,A/C No. 4
32,32,7975,7975,7975,7975,400,32300,A/C No. 4
33,33,7975,7975,7975,7975,400,32300,A/C No. 4
34,34,7975,7975,7975,7975,400,32300,A/C No. 4
35,35,9900,9900,9900,9900,400,40000,A/C No. 3
36,36,9900,9900,9900,9900,400,40000,A/C No. 3
37,37,9900,9900,9900,9900,400,40000,A/C No. 3
38,38,10450,10450,10450,10450,400,42200,A/C No. 3
39,39,10450,10450,10450,10450,400,42200,A/C No. 3
40,40,10450,10450,10450,10450,400,42200,A/C No. 3
41,41,10450,10450,10450,10450,,41800,A/C No. 3
42,42,10450,10450,10450,10450,,41800,A/C No. 3
43,43,10450,10450,10450,10450,,41800,A/C No. 3
